省份,城市,City,小学阶段万人_全市,小学阶段万人_市辖区,学前教育人_全市,学前教育人_市辖区
吉林省,  白山市, Baishan,4,2,13902,5875
吉林省,  松原市, Songyuan,10,4,33905,13637
吉林省,  白城市, Baicheng,7,2,22596,8165
黑龙江省,  哈尔滨市, Harbin,35,25,112025,82747
黑龙江省,  齐齐哈尔市, Qiqihar,13,5,50340,17725
黑龙江省,  鸡西市, Jixi,4,1,17438,7074
黑龙江省,  鹤岗市, Hegang,3,2,10558,6513
黑龙江省,  双鸭山市, Shuangyashan,4,1,15199,4796
黑龙江省,  大庆市, Daqing,10,7,44520,31511
黑龙江省,  伊春市, Yichun,2,1,8444,3722
黑龙江省,  佳木斯市, Jiamusi,8,3,27007,9821
黑龙江省,  七台河市, Qitaihe,2,2,10229,7643
黑龙江省,  牡丹江市, Mudanjiang,8,4,26537,11112
黑龙江省,  黑河市, Heihe,4,1,18294,3905
黑龙江省,  绥化市, Suihua,10,2,41062,8299
上海市,上海市,Shanghai,94,94,484123,484123
江苏省,  南京市, Nanjing,57,57,251144,251144
江苏省,  无锡市, Wuxi,49,30,186587,118789
江苏省,  徐州市, Xuzhou,81,32,263343,109955
江苏省,  常州市, Changzhou,35,31,135958,116141
江苏省,  苏州市, Suzhou,95,50,349995,183715
江苏省,  南通市, Nantong,40,21,148575,82480
江苏省,  连云港市, Lianyungang,40,17,126532,65692
江苏省,  淮安市, Huai'an,34,22,106184,69580
江苏省,  盐城市, Yancheng,41,15,130403,52256
江苏省,  扬州市, Yangzhou,24,15,88760,55827
江苏省,  镇江市, Zhenjiang,18,7,71615,28009
江苏省,  泰州市, Taizhou,24,10,88898,37429
江苏省,  宿迁市, Suqian,52,17,150954,56455
浙江省,  杭州市, Hangzhou,76,69,372923,339562
浙江省,  宁波市, Ningbo,58,31,261812,143267
浙江省,  温州市, Wenzhou,65,19,252226,79987
浙江省,  嘉兴市, Jiaxing,33,10,143540,42690
浙江省,  湖州市, Huzhou,21,10,90291,41786
浙江省,  绍兴市, Shaoxing,30,17,127551,76434
浙江省,  金华市, Jinhua,51,10,208395,47007
浙江省,  衢州市, Quzhou,14,6,61188,27463
浙江省,  舟山市, Zhoushan,5,5,23127,19608
浙江省,  台州市, Taizhou,43,15,167765,58852
浙江省,  丽水市, Lishui,16,4,67186,19058
安徽省,  合肥市, Hefei,69,43,339776,214172
安徽省,  芜湖市, Wuhu,22,15,93973,67430
安徽省,  蚌埠市, Bengbu,32,12,97931,39961
安徽省,  淮南市, Huainan,23,11,76219,37854
