省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
辽宁省,  朝阳市, Chaoyang,11999009,3355522,198571,60993
辽宁省,  葫芦岛市, Huludao,7630461,3880532,330002,187190
吉林省,  长春市, Changchun,117819896,107254983,7257044,7139405
吉林省,  吉林市, Jilin,26347576,19709712,-75840,-196077
吉林省,  四平市, Siping,4436848,2339869,90712,61404
吉林省,  辽源市, Liaoyuan,5806684,3154146,-139616,-71778
吉林省,  通化市, Tonghua,10422787,5378452,-85441,-211668
吉林省,  白山市, Baishan,5055370,3074977,209336,69298
吉林省,  松原市, Songyuan,11424020,6530821,-68062,-137778
吉林省,  白城市, Baicheng,8937304,1916135,383125,95997
黑龙江省,  哈尔滨市, Harbin,50920930,44159397,962168,787281
黑龙江省,  齐齐哈尔市, Qiqihar,19904665,11074727,225831,-82706
黑龙江省,  鸡西市, Jixi,8483356,4885243,98418,27691
黑龙江省,  鹤岗市, Hegang,5494480,3921115,86461,51585
黑龙江省,  双鸭山市, Shuangyashan,7162393,4539493,144797,112018
黑龙江省,  大庆市, Daqing,61433568,12189866,2350056,-117111
黑龙江省,  伊春市, Yichun,2993078,1860099,378804,32306
黑龙江省,  佳木斯市, Jiamusi,6367783,2962599,67233,50406
黑龙江省,  七台河市, Qitaihe,7395263,6564536,-503071,-338329
黑龙江省,  牡丹江市, Mudanjiang,5336812,2541054,68222,56991
黑龙江省,  黑河市, Heihe,4026583,755674,534192,32903
黑龙江省,  绥化市, Suihua,10240904,1378418,-17585,4600
上海市,上海市,Shanghai,585589694,585589694,25194929,25194929
江苏省,  南京市, Nanjing,187644972,187644972,7866062,7866062
江苏省,  无锡市, Wuxi,253736992,135429085,16662208,8882504
江苏省,  徐州市, Xuzhou,77576273,48097549,3484101,2355451
江苏省,  常州市, Changzhou,199119405,168677239,11086522,8858265
江苏省,  苏州市, Suzhou,482791607,219208300,22859474,11899570
江苏省,  南通市, Nantong,160639037,75303040,7696702,3331589
江苏省,  连云港市, Lianyungang,67068295,57346520,3530099,2732743
江苏省,  淮安市, Huai'an,41208904,23414380,2205953,1140342
江苏省,  盐城市, Yancheng,88818239,40673189,3833072,621563
江苏省,  扬州市, Yangzhou,71485300,42287900,2871500,1500700
江苏省,  镇江市, Zhenjiang,68516038,27743964,2827447,1003282
